plotID,TreeKey,SpeciesAbbrev,Azimuth,Distance,CrownWidth1,CrownWidth2,CrownOffsetAzimuth,CrownOffsetDistance,Z
198,49503,Sb,324.9,8,2.61,1.28,0,0,16.4
198,49504,Sb,329.6,8,2.73,2.59,0,0,18.7
198,49505,Sb,329.9,8.2,3.04,1.29,0,0,19.2
242,49745,Sb,7,1.96,2.67,3.03,0,0,13.8
242,49746,Pj,50.7,3,3.21,2.02,0,0,20
242,49747,Sb,42.6,3.5,3.55,2.9,0,0,15.7
242,49749,Sb,8,4.5,2.83,2.61,0,0,17.7
242,49750,Sb,11,4.6,2.6,2.46,0,0,13.8
242,49751,Pj,44,4.6,3.59,2.97,0,0,20.6
242,49752,Sb,32.9,6.7,3.23,2.98,0,0,16
242,49754,Sb,18,7.7,2.9,2.66,0,0,17.9
242,49755,Sb,359,8.4,2.77,2.63,0,0,12.8
242,49757,Pj,9,8.6,NA,NA,0,0,14.9328075645482
242,49758,Sb,21,8.8,2.38,2.07,0,0,14.4
242,49759,Sb,23,9.7,2.62,2.29,0,0,17.3
242,49760,Sb,38,8.7,2.39,2.27,0,0,18.2
242,49761,Sb,55.8,10.8,2.56,2.09,0,0,15.9
242,49763,Sb,79.2,2.1,2.52,2.17,0,0,16.3
242,49764,Sb,87.8,3.7,3.53,2.74,0,0,14.2
242,49765,Sb,64.4,5.6,2.87,3.1,0,0,10.2
242,49766,Sb,83.3,6,2.93,3.02,0,0,16.1
242,49767,Sb,61.7,7.6,4.22,4.02,0,0,21.5
242,49768,Pj,73.5,7.8,3.59,2.93,0,0,18.8
242,49770,Pj,73.4,9,3.14,2.21,0,0,21.9
242,49771,Pj,63.2,10.2,2.61,2.73,0,0,20.8
242,49772,Sb,63.5,10.4,3.23,2.98,0,0,8.7
242,49773,Sb,86.4,9.3,2.66,1.96,0,0,14.4
242,49774,Sb,86.4,10.9,2.55,2.33,0,0,16.3
242,49776,Pj,97.6,2.1,NA,NA,0,0,16.5
242,49777,Pj,122,2.1,2,2.31,0,0,19.9
242,49778,Sb,136.8,3.5,2.98,2.45,0,0,14.4
242,49780,Pj,103.3,4.1,3.1,1.8,0,0,16
242,49782,Pj,98,4.7,3.25,2.74,0,0,20.4
242,49784,Sb,136.2,5.3,2.65,2.86,0,0,15.5
242,49785,Pj,137.3,5.5,NA,NA,0,0,14.5
242,49786,Pj,114.6,8,3.01,2.24,152,1.49,18.1
242,49963,Pj,104.7,8.7,NA,NA,0,0,13
242,49964,Sb,92.8,9.5,3.12,2.77,0,0,18
242,49965,Sb,104.8,9.9,3.06,2.37,0,0,14.6
242,49966,Sb,115.5,10.1,2.48,1.84,0,0,11.5
242,49967,Pj,167,4.2,4.85,5.09,0,0,21.3
242,49968,Pj,142.4,4.6,1.93,1.71,0,0,15.5
242,49970,Sb,153,5.1,2.92,2.15,0,0,15.7
242,49971,Sb,147.6,6,2.31,3.32,0,0,18.3
242,49973,Sb,176,6.5,2.08,2.11,0,0,12.7
242,49975,Sb,172,7,2.48,1.88,0,0,11.6
242,49976,Pj,179,9.9,5.01,5.03,0,0,17.9
242,49977,Sb,153,8.5,2.78,2.38,0,0,15.5
242,49978,Pj,142.3,8.3,2.59,2.09,0,0,16.7
242,49979,Sb,143.9,9.4,3.41,2.69,0,0,20.4
242,49980,Sb,148.7,10.1,2.09,2.66,0,0,16.1
